study,study_sample,sample_no,publishedyear,country,continent,samplingtype,psychotic_n,delusion_n,ethnicity,globeculturalcluster,diagnosiscoded,mooddisordercoded,setting,scale,validatedmeasure,clinicalassessment,percentfemales,agemean,psychosisdurationyears,percentantipsychoticmedication,qa,theme,cases
Adebimpe 1981,Adebimpe 1981 S_1,1,1981,USA,North America,Purposive,149,,White American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_unsystemised,109.0
Adebimpe 1981,Adebimpe 1981 S_2,2,1981,USA,North America,Purposive,126,,African American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_unsystemised,80.0
Adebimpe 1981,Adebimpe 1981 S_2,2,1981,USA,North America,Purposive,126,,African American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_reference,69.0
Adebimpe 1981,Adebimpe 1981 S_1,1,1981,USA,North America,Purposive,149,,White American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_reference,85.0
Adebimpe 1981,Adebimpe 1981 S_2,2,1981,USA,North America,Purposive,126,,African American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_systemised,26.0
Adebimpe 1981,Adebimpe 1981 S_1,1,1981,USA,North America,Purposive,149,,White American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_systemised,36.0
Adebimpe 1981,Adebimpe 1981 S_2,2,1981,USA,North America,Purposive,126,,African American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_encapsulated,6.0
Adebimpe 1981,Adebimpe 1981 S_1,1,1981,USA,North America,Purposive,149,,White American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_encapsulated,6.0
Adebimpe 1981,Adebimpe 1981 S_1,1,1981,USA,North America,Purposive,149,,White American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_influence,91.0
Adebimpe 1981,Adebimpe 1981 S_2,2,1981,USA,North America,Purposive,126,,African American,Anglo,Schizophrenia,no,Inpatient,Itil-Keskiner Scale,Validated,Structured,,,5.0,,5,n_influence,74.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_persecutory,55.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_guilt/sin,10.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_reference,43.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_jealousy,3.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_somatic,7.0
Adeosun 2013,Adeosun 2013 S_1,1,2013,Nigeria,Africa,Purposive,129,,Nigerian,Sub-Saharan Africa,Major Depressive Disorder,yes,Outpatient,SCID,Validated,Structured,0.705,39.94,,,8,n_religious,8.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_persecutory,36.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_infidelity_loveaffair,7.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_guilt/sin,1.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_reference,18.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_grandiose_grandioseability_grandeur,13.0
Ahmed 1978,Ahmed 1978 S_1,1,1978,India,Asia,Purposive,51,51.0,"Pakistani, Indian ",Southern Asia,Schizophrenia,no,Outpatient,None used,Not validated,Unstructured,0.392,30.0,1.3,,8,n_religious,25.0
